"ind.row"	"ind.col"	"rnm"	"cnm"
"284"	123	18	"D.CARMEL ITemp"	"BAZAN HCU NOX INS"
"285"	125	18	"D.CARMEL RH"	"BAZAN HCU NOX INS"
"286"	127	18	"D.CARMEL StWd"	"BAZAN HCU NOX INS"
"287"	128	18	"D.CARMEL TEMP"	"BAZAN HCU NOX INS"
"288"	129	18	"D.CARMEL WDD"	"BAZAN HCU NOX INS"
"289"	130	18	"D.CARMEL WDS"	"BAZAN HCU NOX INS"
"290"	144	18	"Flares NEWFF"	"BAZAN HCU NOX INS"
"291"	145	18	"Flares OLDFF"	"BAZAN HCU NOX INS"
"292"	147	18	"GADIV CTO Status"	"BAZAN HCU NOX INS"
"293"	153	18	"GADIV_OPER PRX-start"	"BAZAN HCU NOX INS"
"294"	154	18	"GADIV_OPER SPL_start"	"BAZAN HCU NOX INS"
"295"	155	18	"GADIV_OPER TOL-start"	"BAZAN HCU NOX INS"
"296"	156	18	"GADIV_OPER XYL-start"	"BAZAN HCU NOX INS"
"297"	158	18	"Gadiv-AS2XYL1 NOX INS"	"BAZAN HCU NOX INS"
"298"	160	18	"Gadiv-PAREX NOX INS"	"BAZAN HCU NOX INS"
"299"	162	18	"Gadiv-TOL NOX INS"	"BAZAN HCU NOX INS"
"300"	164	18	"Gadiv-XYl2 NOX INS"	"BAZAN HCU NOX INS"
"301"	280	18	"mahzam 30 WIND-DIR"	"BAZAN HCU NOX INS"
"302"	281	18	"mahzam 30 WIND-V6"	"BAZAN HCU NOX INS"
"303"	287	18	"mahzam 40 WIND-DIR"	"BAZAN HCU NOX INS"
"304"	288	18	"mahzam 40 WIND-V6"	"BAZAN HCU NOX INS"
"305"	331	18	"Neve Yosef ITemp"	"BAZAN HCU NOX INS"
"306"	337	18	"Neve Yosef TEMP"	"BAZAN HCU NOX INS"
"307"	338	18	"Neve Yosef WDD"	"BAZAN HCU NOX INS"
"308"	340	18	"OP-BZN1 B201B CU3"	"BAZAN HCU NOX INS"
"309"	344	18	"OP-BZN1 Opa21"	"BAZAN HCU NOX INS"
"310"	347	18	"OP-BZN1 OpaC4"	"BAZAN HCU NOX INS"
"311"	349	18	"OP-BZN1 OpaFC"	"BAZAN HCU NOX INS"
"312"	354	18	"OP-BZN1 OPB31-Stat"	"BAZAN HCU NOX INS"
"313"	355	18	"OP-BZN1 STAT1"	"BAZAN HCU NOX INS"
"314"	356	18	"OP-BZN1 STAT2"	"BAZAN HCU NOX INS"
"315"	357	18	"OP-BZN1 STAT3"	"BAZAN HCU NOX INS"
"316"	358	18	"OP-BZN1 STAT5"	"BAZAN HCU NOX INS"
"317"	361	18	"OP-GADIV STAT1"	"BAZAN HCU NOX INS"
"318"	367	18	"OP-HCU Stat-HCU"	"BAZAN HCU NOX INS"
