Delek TOC 36601 Sun Sep  4 01:00:00 2016
Kiryat Yam WDS 171577 Sun Oct 23 21:00:00 2016
Kiryat Yam WDS 254278 Sat Oct 22 22:00:00 2016
Kiryat Yam WDS 160777 Mon Oct 24 00:00:00 2016
Kiryat Yam WDS 451486 Thu Oct 20 15:00:00 2016
Kiryat Yam WDS 121229 Mon Oct 24 11:00:00 2016
Kiryat Yam WDS 196777 Sun Oct 23 14:00:00 2016
Kiryat Yam WDS 225577 Sun Oct 23 06:00:00 2016
Kiryat Yam WDS 218377 Sun Oct 23 08:00:00 2016
Kiryat Yam WDS 304678 Sat Oct 22 08:00:00 2016
Kiryat Yam WDS 311878 Sat Oct 22 06:00:00 2016
Kiryat Yam WDS 236377 Sun Oct 23 03:00:00 2016
Kiryat Yam WDS 415486 Fri Oct 21 01:00:00 2016
Kiryat Yam WDS 211177 Sun Oct 23 10:00:00 2016
Kiryat Yam WDS 128429 Mon Oct 24 09:00:00 2016
Kiryat Yam WDS 257878 Sat Oct 22 21:00:00 2016
Kiryat Yam WDS 239977 Sun Oct 23 02:00:00 2016
Kiryat Yam WDS 333427 Sat Oct 22 00:00:00 2016
Kiryat Yam WDS 293878 Sat Oct 22 11:00:00 2016
Kiryat Yam WDS 265078 Sat Oct 22 19:00:00 2016
Kiryat Yam WDS 175177 Sun Oct 23 20:00:00 2016
Kiryat Yam WDS 243478 Sun Oct 23 01:00:00 2016
Kiryat Yam WDS 283078 Sat Oct 22 14:00:00 2016
Kiryat Yam WDS 250678 Sat Oct 22 23:00:00 2016
Kiryat Yam WDS 440686 Thu Oct 20 18:00:00 2016
Kiryat Yam WDS 347827 Fri Oct 21 20:00:00 2016
Kiryat Yam WDS 88829 Mon Oct 24 20:00:00 2016
Kiryat Yam WDS 232777 Sun Oct 23 04:00:00 2016
Kiryat Yam WDS 286678 Sat Oct 22 13:00:00 2016
Kiryat Yam WDS 426286 Thu Oct 20 22:00:00 2016
Kiryat Yam WDS 74429 Tue Oct 25 00:00:00 2016
